#position_x	position_y	position_z	radius	msat
1.74e+09	0	0	1.1398384427771991e-08	400000
1.75e+09	0	0	1.0331246035464714e-08	400000
1.76e+09	0	0	7.8631425507688e-09	400000
1.77e+09	0	0	7.911878208015297e-09	400000
1.78e+09	0	0	1.0660922914941447e-08	400000
1.79e+09	0	0	6.614606186150219e-09	400000
1.8e+09	0	0	9.795726668385737e-09	400000
1.81e+09	0	0	6.465596047140548e-09	400000
1.82e+09	0	0	6.4066001820363575e-09	400000
1.83e+09	0	0	1.0073566175873556e-08	400000
1.84e+09	0	0	1.07100823504559e-08	400000
1.85e+09	0	0	9.52070844090276e-09	400000
1.86e+09	0	0	1.5012093339730372e-08	400000
1.87e+09	0	0	1.3698333202990352e-08	400000
1.88e+09	0	0	1.4230389006818632e-08	400000
1.89e+09	0	0	1.5303599478050285e-08	400000
1.9e+09	0	0	1.44719705174968e-08	400000
